HealthyCount;InfectedCount;RecoveredCount;Time
700;0;0;0
699;1;0;0
698;2;0;0
697;3;0;0
696;4;0;0
695;5;0;0
694;6;0;0
693;7;0;0
692;8;0;0
691;9;0;0
690;10;0;0
689;11;0;0.7
688;12;0;1.42
687;13;0;3.02
686;14;0;4.74
685;15;0;5.5
684;16;0;6.46
683;17;0;6.46
682;18;0;7.1
681;19;0;7.26
680;20;0;7.26
679;21;0;7.88
678;22;0;8
677;23;0;8.78
677;22;0;9
677;22;1;9
677;21;1;9
677;21;2;9
677;20;2;9
677;20;3;9
677;19;3;9
677;19;4;9
677;18;4;9
677;18;5;9
677;17;5;9
677;17;6;9
677;16;6;9
677;16;7;9
677;15;7;9
677;15;8;9
677;14;8;9
677;14;9;9
677;13;9;9
677;13;10;9
676;14;10;9.54
676;13;10;9.72
676;13;11;9.72
675;14;11;9.78
674;15;11;10.4
674;14;11;10.44
674;14;12;10.44
673;15;12;10.82
672;16;12;11.14
671;17;12;11.42
670;18;12;11.48
670;17;12;12.04
670;17;13;12.04
669;18;13;12.28
668;19;13;12.86
667;20;13;13.7
667;19;13;13.76
667;19;14;13.76
666;20;14;14.02
665;21;14;14.22
664;22;14;14.44
664;21;14;14.52
664;21;15;14.52
663;22;15;14.54
662;23;15;14.84
662;22;15;15.48
662;22;16;15.48
662;21;16;15.48
662;21;17;15.48
661;22;17;15.76
660;23;17;15.8
660;22;17;16.12
660;22;18;16.12
660;21;18;16.28
660;21;19;16.28
660;20;19;16.28
660;20;20;16.28
659;21;20;16.6
658;22;20;16.8
658;21;20;16.9
658;21;21;16.9
657;22;21;16.96
657;21;21;17.02
657;21;22;17.02
656;22;22;17.26
655;23;22;17.68
654;24;22;17.78
654;23;22;17.8
654;23;23;17.8
653;24;23;18.2
652;25;23;18.32
651;26;23;18.4
651;25;23;18.56
651;25;24;18.56
650;26;24;18.68
649;27;24;18.7
649;26;24;18.8
649;26;25;18.8
648;27;25;18.82
647;28;25;19.14
647;27;25;19.42
647;27;26;19.42
646;28;26;19.74
646;27;26;19.84
646;27;27;19.84
646;26;27;20.16
646;26;28;20.16
645;27;28;20.16
645;26;28;20.44
645;26;29;20.44
645;25;29;20.5
645;25;30;20.5
644;26;30;20.82
643;27;30;21.08
642;28;30;21.12
641;29;30;21.26
641;28;30;21.3
641;28;31;21.3
640;29;31;21.6
639;30;31;21.82
639;29;31;21.88
639;29;32;21.88
638;30;32;21.96
637;31;32;22.38
636;32;32;22.46
636;31;32;22.72
636;31;33;22.72
636;30;33;23.04
636;30;34;23.04
636;29;34;23.24
636;29;35;23.24
635;30;35;23.28
634;31;35;23.38
633;32;35;23.42
633;31;35;23.46
633;31;36;23.46
633;30;36;23.56
633;30;37;23.56
633;29;37;23.86
633;29;38;23.86
632;30;38;23.88
631;31;38;24.26
630;32;38;24.28
629;33;38;24.44
628;34;38;24.44
628;33;38;24.78
628;33;39;24.78
628;32;39;24.82
628;32;40;24.82
627;33;40;25
626;34;40;25.2
625;35;40;25.32
624;36;40;25.34
623;37;40;25.34
622;38;40;25.5
622;37;40;25.62
622;37;41;25.62
621;38;41;25.7
621;37;41;25.82
621;37;42;25.82
620;38;42;25.88
619;39;42;25.92
619;38;42;25.98
619;38;43;25.98
618;39;43;25.98
617;40;43;26.02
616;41;43;26.06
615;42;43;26.08
614;43;43;26.08
614;42;43;26.28
614;42;44;26.28
614;41;44;26.7
614;41;45;26.7
614;40;45;26.8
614;40;46;26.8
613;41;46;26.98
612;42;46;27.04
611;43;46;27.14
611;42;46;27.22
611;42;47;27.22
610;43;47;27.32
610;42;47;27.34
610;42;48;27.34
609;43;48;27.36
608;44;48;27.36
608;43;48;27.42
608;43;49;27.42
607;44;49;27.46
606;45;49;27.46
605;46;49;27.66
604;47;49;27.68
604;46;49;27.7
604;46;50;27.7
604;45;50;27.72
604;45;51;27.72
603;46;51;27.76
602;47;51;27.8
602;46;51;27.84
602;46;52;27.84
601;47;52;27.84
600;48;52;27.98
599;49;52;28
599;48;52;28.16
599;48;53;28.16
598;49;53;28.2
597;50;53;28.46
597;49;53;28.76
597;49;54;28.76
596;50;54;28.8
595;51;54;28.94
594;52;54;29.12
593;53;54;29.14
593;52;54;29.18
593;52;55;29.18
592;53;55;29.26
591;54;55;29.32
590;55;55;29.4
589;56;55;29.58
588;57;55;29.62
587;58;55;29.64
586;59;55;29.68
585;60;55;29.72
584;61;55;29.78
584;60;55;29.84
584;60;56;29.84
583;61;56;29.86
583;60;56;30.1
583;60;57;30.1
583;59;57;30.14
583;59;58;30.14
582;60;58;30.14
581;61;58;30.18
581;60;58;30.28
581;60;59;30.28
580;61;59;30.28
579;62;59;30.46
578;63;59;30.5
577;64;59;30.56
577;63;59;30.62
577;63;60;30.62
577;62;60;30.84
577;62;61;30.84
576;63;61;30.84
575;64;61;30.86
575;63;61;30.98
575;63;62;30.98
574;64;62;31.14
573;65;62;31.28
573;64;62;31.4
573;64;63;31.4
573;63;63;31.48
573;63;64;31.48
572;64;64;31.52
571;65;64;31.6
570;66;64;31.86
569;67;64;31.96
568;68;64;32.02
567;69;64;32.26
566;70;64;32.26
566;69;64;32.3
566;69;65;32.3
565;70;65;32.36
565;69;65;32.4
565;69;66;32.4
564;70;66;32.4
564;69;66;32.44
564;69;67;32.44
563;70;67;32.64
562;71;67;32.72
562;70;67;32.9
562;70;68;32.9
561;71;68;32.92
560;72;68;33.04
559;73;68;33.04
558;74;68;33.12
557;75;68;33.26
557;74;68;33.28
557;74;69;33.28
556;75;69;33.28
556;74;69;33.3
556;74;70;33.3
555;75;70;33.34
554;76;70;33.36
554;75;70;33.46
554;75;71;33.46
554;74;71;33.46
554;74;72;33.46
553;75;72;33.48
552;76;72;33.52
551;77;72;33.56
550;78;72;33.64
549;79;72;33.66
548;80;72;33.92
547;81;72;33.98
546;82;72;34
546;81;72;34.02
546;81;73;34.02
545;82;73;34.02
545;81;73;34.22
545;81;74;34.22
544;82;74;34.22
544;81;74;34.34
544;81;75;34.34
544;80;75;34.36
544;80;76;34.36
544;79;76;34.36
544;79;77;34.36
543;80;77;34.42
543;79;77;34.52
543;79;78;34.52
542;80;78;34.52
541;81;78;34.56
540;82;78;34.62
540;81;78;34.72
540;81;79;34.72
539;82;79;34.76
539;81;79;34.9
539;81;80;34.9
539;80;80;34.94
539;80;81;34.94
539;79;81;35
539;79;82;35
539;78;82;35.04
539;78;83;35.04
539;77;83;35.08
539;77;84;35.08
539;76;84;35.1
539;76;85;35.1
539;75;85;35.1
539;75;86;35.1
538;76;86;35.12
537;77;86;35.36
536;78;86;35.36
535;79;86;35.38
534;80;86;35.38
533;81;86;35.38
532;82;86;35.52
531;83;86;35.8
530;84;86;35.8
529;85;86;35.82
528;86;86;35.88
527;87;86;35.92
527;86;86;36
527;86;87;36
527;85;87;36.06
527;85;88;36.06
526;86;88;36.12
526;85;88;36.16
526;85;89;36.16
525;86;89;36.2
524;87;89;36.28
524;86;89;36.34
524;86;90;36.34
524;85;90;36.38
524;85;91;36.38
524;84;91;36.38
524;84;92;36.38
524;83;92;36.48
524;83;93;36.48
524;82;93;36.48
524;82;94;36.48
523;83;94;36.66
